C8-pos_Cluster_1912	C46:0 TAG*
C8-pos_Cluster_1915	C46:2 TAG
C8-pos_Cluster_1922	C46:1 TAG
C8-pos_Cluster_1932	C46:0 TAG
C8-pos_Cluster_1965	C24:1 SM
C8-pos_Cluster_1970	C24:0 SM
C8-pos_Cluster_1976	C48:2 TAG*
C8-pos_Cluster_1980	C48:4 TAG
C8-pos_Cluster_1987	C48:3 TAG
C8-pos_Cluster_1992	C48:0 TAG*
C8-pos_Cluster_1995	C48:2 TAG
C8-pos_Cluster_1997	C48:1 TAG
C8-pos_Cluster_2003	C48:0 TAG
C8-pos_Cluster_2019	C24:1 SM 
C8-pos_Cluster_2022	C49:1 TAG
C8-pos_Cluster_2040	C50:4 TAG*
C8-pos_Cluster_2046	C50:3 TAG*
C8-pos_Cluster_2048	C50:5 TAG
C8-pos_Cluster_2056	C50:4 TAG
C8-pos_Cluster_2064	C50:1 TAG*
C8-pos_Cluster_2069	C50:3 TAG
C8-pos_Cluster_2075	C50:2 TAG
C8-pos_Cluster_2081	C50:1 TAG
C8-pos_Cluster_2088	C50:0 TAG
C8-pos_Cluster_2094	C51:3 TAG*
C8-pos_Cluster_2102	C51:2 TAG*
C8-pos_Cluster_2117	C51:2 TAG*
C8-pos_Cluster_2119	C52:6 TAG*
C8-pos_Cluster_2124	C52:5 TAG*
C8-pos_Cluster_2128	C52:7 TAG
C8-pos_Cluster_2130	C51:0 TAG*
C8-pos_Cluster_2132	C52:4 TAG*
C8-pos_Cluster_2134	C52:6 TAG
C8-pos_Cluster_2136	C52:3 TAG*
C8-pos_Cluster_2138	C52:5 TAG
C8-pos_Cluster_2140	C52:2 TAG*
C8-pos_Cluster_2141	C52:4 TAG
C8-pos_Cluster_2147	C52:1 TAG*
C8-pos_Cluster_2149	C52:3 TAG
C8-pos_Cluster_2154	C52:0 TAG*
C8-pos_Cluster_2156	C52:2 TAG
C8-pos_Cluster_2161	C52:1 TAG
C8-pos_Cluster_2168	C52:0 TAG
C8-pos_Cluster_2178	C53:3 TAG*
C8-pos_Cluster_2192	C53:3 TAG*
C8-pos_Cluster_2197	C54:9 TAG
C8-pos_Cluster_2201	C54:6 TAG*
C8-pos_Cluster_2202	C54:8 TAG
C8-pos_Cluster_2207	C54:5 TAG*
C8-pos_Cluster_2210	C54:7 TAG
C8-pos_Cluster_2211	C54:4 TAG*
C8-pos_Cluster_2215	C54:6 TAG
C8-pos_Cluster_2218	C54:3 TAG*
C8-pos_Cluster_2220	C54:5 TAG
C8-pos_Cluster_2226	C54:4 TAG
C8-pos_Cluster_2233	C54:3 TAG
C8-pos_Cluster_2240	C54:2 TAG
C8-pos_Cluster_2242	C54:1 TAG
C8-pos_Cluster_2277	C55:3 TAG*
C8-pos_Cluster_2284	C55:2 TAG*
C8-pos_Cluster_2286	C56:6 TAG*
C8-pos_Cluster_2293	C56:7 TAG
C8-pos_Cluster_2297	C56:4 TAG*
C8-pos_Cluster_2300	C56:6 TAG
C8-pos_Cluster_2303	C56:3 TAG*
C8-pos_Cluster_2304	C56:5 TAG
C8-pos_Cluster_2306	C56:2 TAG*
C8-pos_Cluster_2307	C56:4 TAG
C8-pos_Cluster_2308	C56:1 TAG*
C8-pos_Cluster_2311	C56:3 TAG
C8-pos_Cluster_2313	C56:2 TAG
C8-pos_Cluster_2319	C56:1 TAG
C8-pos_Cluster_2341	C58:7 TAG
C8-pos_Cluster_2345	C58:6 TAG
HILIC-neg_Cluster_0003	propionate
HILIC-neg_Cluster_0013	butyrate / isobutytare*
HILIC-neg_Cluster_0015	alanine
HILIC-neg_Cluster_0016	oxalate
HILIC-neg_Cluster_0020	lactate
HILIC-neg_Cluster_0030	methylbutyric aid / valeric / isovaleric*
HILIC-neg_Cluster_0032	2-aminobutyric acid
HILIC-neg_Cluster_0033	malonate
HILIC-neg_Cluster_0034	alpha-hydroxybutyrate
